i m 	j ai ans 
he s able to speak japanese 	il sait parler japonais 
he s always late for school 	il est toujours en retard a l ecole 
he s an independent thinker 	c est un esprit independant 
he s better at it than i am 	il y est meilleur que je ne le suis 
he s brighter than they are 	il est plus intelligent qu eux 
he s checking his cellphone 	il verifie son telephone portable 
he s going to join our club 	il va se joindre a notre cercle 
he s kind of cute isn t he 	il est assez mignon n est ce pas 
he s kind of cute isn t he 	il est assez mignon non 
he s kind of cute isn t he 	il est mignon dans son genre non 
he s not as tall as you are 	il n est pas aussi grand que toi 
he s rough around the edges 	il est un peu rude aux encoignures 
he s screaming not singing 	il hurle il ne chante pas 
he s smoking more than ever 	il fume plus que jamais 
he s the cutest boy in town 	c est le garcon le plus mignon en ville 
he s the one who touched me 	c est celui qui m a tripotee 
he s the one who touched me 	c est celui qui m a tripote 
he s very likely to be late 	il est tres probable qu il soit en retard 
he s working at his english 	il travaille son anglais 
i am a gentleman s daughter 	je suis la fille d un gentilhomme 
i am dying for a cold drink 	je creve d envie d une boisson fraiche 
i am dying to see her again 	j ai tres envie de la revoir 
i am dying to see her again 	je creve d envie de la revoir 
i am going to buy a new car 	je vais acheter une nouvelle voiture 
i am grateful for your help 	je te suis reconnaissant pour ton aide 
i am interested in swimming 	je m interesse a la natation 
i am interested in swimming 	la natation m interesse 
i am leaving at ten o clock 	je partirai a dix heures 
i am looking for a job sir 	je recherche un emploi monsieur 
i am looking for my brother 	je cherche mon frere 
i am looking for my glasses 	je cherche mes lunettes 
i am loved by all my family 	je suis aime de toute ma famille 
i am not certain about that 	je n en suis pas sur 
i am not certain about that 	je n en suis pas certain 
i am not certain about that 	je ne suis pas certain de cela 
i am not certain about that 	je n en suis pas sure 
i am on good terms with him 	je suis en bons termes avec lui 
i am prepared for the worst 	je suis pret pour le pire 
i am proud to work with you 	je suis fier de travailler avec vous 
i am running short of money 	je suis a court d argent 
i am very sensitive to heat 	je suis tres sensible a la chaleur 
i am working on my new book 	je travaille a mon nouveau livre 
i am yours and you are mine 	je suis a toi et tu es a moi 
i am yours and you are mine 	je suis a vous et vous etes a moi 
i am yours and you are mine 	je suis tien et tu es mien 
i am yours and you are mine 	je suis tienne et tu es mien 
i am yours and you are mine 	je suis tienne et tu es mienne 
i am yours and you are mine 	je suis tien et tu es mienne 
i am yours and you are mine 	je suis votre et vous etes mien 
i am yours and you are mine 	je suis votre et vous etes mienne 
i am yours and you are mine 	je suis votre et vous etes miens 
i am yours and you are mine 	je suis votre et vous etes miennes 
i m a bit nervous right now 	je suis un peu nerveux en ce moment 
i m a little angry with you 	je suis un peu en colere contre toi 
i m a management consultant 	je suis conseiller en gestion 
i m afraid i can t help you 	je crains de ne pouvoir t aider 
i m afraid i have to go now 	je suis desole je dois partir maintenant 
i m afraid i have to go now 	j ai bien peur de devoir y aller maintenant 
i m all for your suggestion 	je suis completement en faveur de ta suggestion 
i m already full thank you 	je suis deja rassasie merci beaucoup 
i m always surprised by him 	il ne cesse de me surprendre 
i m an actress not a model 	je suis une actrice pas un mannequin 
i m an actress not a model 	je suis actrice non mannequin 
i m better looking than tom 	je suis plus beau que tom 
i m certain that he ll come 	je suis certain qu il viendra 
i m certain that he ll come 	je suis sur qu il viendra 
i m deeply offended by this 	je suis profondement offense par ceci 
i m deeply offended by this 	je suis profondement offensee par ceci 
i m done fooling around now 	j en ai fini de faire l andouille 
i m fond of taking pictures 	j adore prendre des photos 
i m getting tired of losing 	perdre me fatigue 
i m going shopping tomorrow 	je vais faire des courses demain 
i m going shopping tomorrow 	je vais demain faire des emplettes 
i m going to be your lawyer 	je vais etre ton avocat 
i m going to be your lawyer 	je vais etre votre avocat 
i m going to buy some bread 	je vais acheter du pain 
i m going to miss you a lot 	vous allez beaucoup me manquer 
i m going to miss you a lot 	tu vas beaucoup me manquer 
i m going to need your help 	je vais avoir besoin de votre aide 
i m going to need your help 	j aurai besoin de votre aide 
i m going to need your help 	j aurai besoin de ton aide 
i m going to propose to her 	je vais la demander en mariage 
i m going to shoot him dead 	je vais l abattre 
i m going to swim every day 	je vais nager chaque jour 
i m going to swim every day 	je vais nager quotidiennement 
i m going to tell everybody 	je vais le dire a tout le monde 
i m having trouble focusing 	j ai du mal a me concentrer 
i m having trouble sleeping 	j ai du mal a dormir 
i m here for another reason 	je suis ici pour une autre raison 
i m here to see the manager 	je suis ici pour voir le gerant 
i m in the mood to talk now 	je suis maintenant dispose a discuter 
i m in the mood to talk now 	je suis maintenant disposee a discuter 
i m just looking thank you 	je ne fais que regarder merci 
i m looking for another job 	je suis a la recherche d un autre boulot 
i m looking for the manager 	je cherche le gerant 
i m looking forward to that 	j en suis impatient 
i m looking forward to that 	j en suis impatiente 
i m looking forward to that 	je m en rejouis d avance 
i m not allowed to help you 	je ne suis pas autorise a vous aider 
i m not allowed to help you 	je ne suis pas autorisee a vous aider 
i m not allowed to help you 	je ne suis pas autorise a t aider 
i m not allowed to help you 	je ne suis pas autorisee a t aider 
i m not ashamed of who i am 	je n ai pas honte de ce que je suis 
i m not ashamed to tell you 	je n ai pas honte de te dire 
i m not ashamed to tell you 	je n ai pas honte de vous dire 
i m not available right now 	je ne suis pas libre tout de suite 
i m not going to allow that 	je ne vais pas autoriser ca 
i m not going to name names 	je ne vais pas citer de noms 
i m not going to name names 	je ne vais pas livrer de noms 
i m not good at negotiating 	je ne suis pas bon pour negocier 
i m not good at negotiating 	je ne suis pas doue pour negocier 
i m not good enough for tom 	je ne suis pas assez bien pour tom 
i m not good enough for you 	je ne suis pas assez bon pour toi 
i m not good enough for you 	je ne suis pas assez bon pour vous 
i m not good enough for you 	je ne suis pas assez bonne pour toi 
i m not good enough for you 	je ne suis pas assez bonne pour vous 
i m not in a mood to go out 	je ne suis pas d humeur a sortir 
i m not in the office today 	je ne suis pas au bureau aujourd hui 
i m not ready to retire yet 	je ne suis pas encore pret a prendre ma retraite 
i m not really that thirsty 	je n ai pas si soif que ca 
i m not suggesting anything 	je ne suggere rien 
i m not sure i want the job 	je ne suis pas certain de vouloir le poste 
i m not sure i want the job 	je ne suis pas certaine de vouloir le poste 
i m not talking to you tom 	je ne te parle pas tom 
i m not talking to you tom 	je ne vous parle pas tom 
i m not talking to you tom 	ce n est pas a toi que je parle tom 
i m not talking to you tom 	ce n est pas a vous que je parle tom 
i m not very good at french 	je ne suis pas tres bon en francais 
i m not worried about money 	je ne suis pas inquiet pour l argent 
i m not worried about money 	je ne me fais pas de soucis pour l argent 
i m now busy writing a book 	je suis occupe en ce moment a ecrire un livre 
i m older than your brother 	je suis plus vieux que ton frere 
i m opening my presents now 	j ouvre maintenant mes cadeaux 
i m playing with my friends 	je joue avec mes amis 
i m playing with my friends 	je joue avec mes amies 
i m playing with my friends 	je suis en train de jouer avec mes amis 
i m playing with my friends 	je suis en train de jouer avec mes amies 
i m really glad you re here 	je me rejouis vraiment que tu sois la 
i m saving as much as i can 	j economise autant que je peux 
i m seeing her this evening 	je la vois ce soir 
i m sick of your complaints 	j en ai assez de vos recriminations 
i m sick of your complaints 	j en ai assez de tes recriminations 
i m sorry i was rude to you 	je suis desole d avoir ete si grossier 
i m sorry you re leaving us 	c est triste que tu doives partir 
i m sorry i can t help you 	je suis desole de ne pas pouvoir t aider 
i m sorry i can t help you 	je suis desolee de ne pas pouvoir t aider 
i m sorry i can t help you 	je suis desole je ne peux pas t aider 
i m sorry my father is out 	je suis desole mon pere est sorti 
i m sorry my father is out 	je suis desolee mon pere est sorti 
i m sorry my father is out 	je suis desole mon pere ne fait plus partie du groupe 
i m sorry my father is out 	je suis desole mon pere est dehors 
i m sorry my father is out 	je suis desole mon pere est elimine 
i m sorry my father is out 	je suis desolee mon pere est dehors 
i m sorry my father is out 	je suis desolee mon pere est elimine 
i m starting to dislike her 	je commence a la trouver antipathique 
i m still thinking about it 	j y pense encore 
i m still thinking about it 	j y songe encore 
i m studying french grammar 	je suis en train d etudier la grammaire francaise 
i m studying in the library 	j etudie a la bibliotheque 
i m sure i can persuade tom 	je suis certain de pouvoir persuader tom 
i m sure i can persuade tom 	je suis sure de pouvoir persuader tom 
i m sure she ll leave early 	je suis sur qu elle partira tot 
i m sure she ll leave early 	je suis sure qu elle partira tot 
i m suspicious of everybody 	tout le monde est a mes yeux suspect 
i m taking a walk in a park 	je me promene dans un parc 
